# Game_date	Longitude	Latitude	Goals
2021-01-06	-2.950366	43.264284	2
2021-01-09	-3.595736	37.152967	2
2021-01-27	-3.658961	40.391944	1
2021-01-31	2.122802	41.380870	1
2021-02-07	-5.981389	37.356389	1
2021-02-13	2.122802	41.380870	2
2021-02-16	2.122802	41.380870	1
2021-02-21	2.122802	41.380870	1
2021-02-24	2.122802	41.380870	2
2021-02-27	-5.970500	37.384000	1
2021-03-10	2.253056	48.841389	1
2021-03-15	2.122802	41.380870	2
2021-03-21	-1.973617	43.301378	2
2021-04-17	-6.002738	37.417007	2
2021-04-22	2.122802	41.380870	2
2021-04-29	2.122802	41.380870	1
2021-05-02	-0.358361	39.474656	2
2021-05-11	-0.364167	39.494722	1
2021-05-16	2.122802	41.380870	1
2021-06-04	-64.269583	-27.765778	1
2021-06-14	-43.292269	-22.893172	1
2021-06-28	-56.120556	-15.603056	2
2021-07-03	-49.262500	-16.670833	1
2021-09-09	-58.449444	-34.545278	3
2021-09-28	2.253056	48.841389	1
2021-10-10	-58.449444	-34.545278	1
2021-10-19	2.253056	48.841389	2
2021-11-20	2.253056	48.841389	1
2021-12-07	2.253056	48.841389	2
2022-02-06	3.130400	50.611900	1
2022-03-26	-58.358789	-34.634721	1
2022-04-03	2.253056	48.841389	1
2022-04-23	2.253056	48.841389	1
2022-05-14	3.811944	43.622222	2
2022-06-05	-1.636944	42.796667	5
2022-07-20	139.714500	35.677806	1
2022-07-25	135.538228	34.802808	1
2022-07-31	34.756860	32.051036	1
2022-08-06	3.121651	45.815820	2
2022-08-21	3.130400	50.611900	1
2022-09-14	34.965167	32.783111	1
2022-09-18	4.981944	45.765278	1
2022-09-23	-80.238889	25.958056	2
2022-09-27	-74.150278	40.736667	2
2022-10-01	2.253056	48.841389	1
2022-10-05	-9.184700	38.752700	1
2022-10-21	8.776725	41.931081	1
2022-10-25	2.253056	48.841389	2
2022-10-29	2.253056	48.841389	1
2022-11-16	54.392019	24.452764	1
2022-11-22	51.490389	25.420861	1
2022-11-26	51.490389	25.420861	1
2022-12-03	51.342273	25.329640	1
2022-12-09	51.490389	25.420861	1
2022-12-13	51.490389	25.420861	1
2022-12-18	51.490389	25.420861	2
2023-01-11	2.253056	48.841389	1
2023-01-19	46.836872	24.786254	1
2023-02-01	3.811944	43.622222	1
2023-02-04	2.253056	48.841389	1
2023-02-19	2.253056	48.841389	1
2023-02-26	5.395833	43.269722	1
2023-03-04	2.253056	48.841389	1
2023-03-24	-58.449444	-34.545278	1
2023-03-28	-64.269583	-27.765778	3
2023-04-08	7.192583	43.705139	1
2023-04-15	2.253056	48.841389	1
2023-05-27	7.754969	48.560064	1
2023-06-15  116.441139	39.929528   1
2023-07-22	-80.161111	26.193056	1
2023-07-25	-80.161111	26.193056	2
2023-08-02	-80.161111	26.193056	2
2023-08-06	-96.835278	33.154444	2
2023-08-11	-80.161111	26.193056	1
2023-08-15	-75.378889	39.832222	1
2023-08-19	-86.765556	36.130278	1
2023-08-26	-74.150278	40.736667	1
2023-09-07	-58.449444	-34.545278	1
2023-10-17	-77.033722	-12.067278	2
